股票代码,报告日期,分类类型,主营构成,主营收入,收入比例,主营成本,成本比例,主营利润,利润比例,毛利率
601607,2020-06-30,按产品分类,分销,75451463608.15,0.865615,69972763895.39,0.944875,5478699712.76,0.4179,0.072612
601607,2020-06-30,按产品分类,工业,11674691545.54,0.133938,4730226128.36,0.063874,6944465417.18,0.529705,0.594831
601607,2020-06-30,按产品分类,零售,3767820629.2,0.043226,3242650964.49,0.043787,525169664.71,0.040059,0.139383
601607,2020-06-30,按产品分类,其他,500005277.97,0.005736,270533760.14,0.003653,229471517.83,0.017503,0.458938
601607,2020-06-30,按产品分类,分部间抵销,-4228875925.47,-0.048516,-4161128024.3,-0.05619,-67747901.17,-0.005168,
601607,2020-06-30,按地区分类,国内销售,85064142720.12,0.975897,72575890676.45,0.980026,12488252043.67,0.95257,0.14681
601607,2020-06-30,按地区分类,国外销售,1866355097.86,0.021412,1388047351.22,0.018743,478307746.64,0.036484,0.256279
601607,2020-06-30,按地区分类,其他(补充),234607317.41,0.002692,91108696.35,0.00123,143498621.06,0.010946,0.611654
601607,2019-12-31,按行业分类,分销,162389757831.94,0.870415,150974468065.35,0.945057,11415289766.59,0.425719,0.070296
601607,2019-12-31,按行业分类,工业,23490480141.34,0.12591,9737163397.46,0.060952,13753316743.88,0.512913,0.585485
601607,2019-12-31,按行业分类,零售,8339668692.34,0.044701,7130218955.78,0.044633,1209449736.56,0.045105,0.145024
601607,2019-12-31,按行业分类,其他(补充),602321046.2,0.003228,191978433.2,0.001202,410342613.0,0.015303,0.681269
601607,2019-12-31,按行业分类,其他,303162594.07,0.001625,208915629.08,0.001308,94246964.99,0.003515,0.310879
601607,2019-12-31,按行业分类,抵消,-8559593841.84,-0.04588,-8491074878.74,-0.053152,-68518963.1,-0.002555,
601607,2019-12-31,按产品分类,分销,162389757831.94,0.870415,150974468065.35,0.945057,11415289766.59,0.425719,0.070296
601607,2019-12-31,按产品分类,工业,23490480141.34,0.12591,9737163397.46,0.060952,13753316743.88,0.512913,0.585485
601607,2019-12-31,按产品分类,零售,8339668692.34,0.044701,7130218955.78,0.044633,1209449736.56,0.045105,0.145024
601607,2019-12-31,按产品分类,其他(补充),602321046.2,0.003228,191978433.2,0.001202,410342613.0,0.015303,0.681269
601607,2019-12-31,按产品分类,其他,303162594.07,0.001625,208915629.08,0.001308,94246964.99,0.003515,0.310879
601607,2019-12-31,按产品分类,抵消,-8559593841.84,-0.04588,-8491074878.74,-0.053152,-68518963.1,-0.002555,
601607,2019-12-31,按地区分类,国内销售,183508651752.57,0.983614,157829836437.34,0.98797,25678815315.23,0.95766,0.139932
601607,2019-12-31,按地区分类,国外销售,2454823665.28,0.013158,1729854731.59,0.010828,724968933.69,0.027037,0.295324
601607,2019-12-31,按地区分类,其他(补充),602321046.2,0.003228,191978433.2,0.001202,410342613.0,0.015303,0.681269
601607,2019-06-30,按行业分类,分销,80193796546.79,0.866255,74842226090.53,0.943942,5351570456.26,0.402727,0.066733
601607,2019-06-30,按行业分类,工业,11942067912.36,0.128999,4925415427.66,0.062121,7016652484.7,0.528031,0.587558
601607,2019-06-30,按行业分类,零售,3836681760.52,0.041444,3270960743.36,0.041255,565721017.16,0.042573,0.147451
601607,2019-06-30,按行业分类,其他(补充),632615252.05,0.006834,259099252.31,0.003268,373515999.74,0.028109,0.590432
601607,2019-06-30,按行业分类,其他,74201388.67,0.000802,46767885.16,0.00059,27433503.51,0.002064,0.369717
601607,2019-06-30,按行业分类,抵消,-4104128444.58,-0.044333,-4057559736.9,-0.051176,-46568707.68,-0.003504,
601607,2019-06-30,按产品分类,分销,80193796546.79,0.866255,74842226090.53,0.943942,5351570456.26,0.402727,0.066733
601607,2019-06-30,按产品分类,工业,11942067912.36,0.128999,4925415427.66,0.062121,7016652484.7,0.528031,0.587558
601607,2019-06-30,按产品分类,零售,3836681760.52,0.041444,3270960743.36,0.041255,565721017.16,0.042573,0.147451
601607,2019-06-30,按产品分类,其他(补充),632615252.05,0.006834,259099252.31,0.003268,373515999.74,0.028109,0.590432
601607,2019-06-30,按产品分类,其他,74201388.67,0.000802,46767885.16,0.00059,27433503.51,0.002064,0.369717
601607,2019-06-30,按产品分类,抵消,-4104128444.58,-0.044333,-4057559736.9,-0.051176,-46568707.68,-0.003504,
601607,2019-06-30,按地区分类,国内销售,90826511365.29,0.98111,78262398728.2,0.987078,12564112637.09,0.9455,0.138331
601607,2019-06-30,按地区分类,国外销售,1116107798.47,0.012056,765411681.61,0.009654,350696116.86,0.026391,0.314213
601607,2019-06-30,按地区分类,其他(补充),632615252.05,0.006834,259099252.31,0.003268,373515999.74,0.028109,0.590432
601607,2018-12-31,按行业分类,分销,139444563456.48,0.876545,129665209144.73,0.949779,9779354311.75,0.433426,0.070131
601607,2018-12-31,按行业分类,工业,19461712852.33,0.122336,8004782230.8,0.058634,11456930621.53,0.507777,0.588691
601607,2018-12-31,按行业分类,零售,7202071565.42,0.045272,6111368784.43,0.044765,1090702780.99,0.04834,0.151443
601607,2018-12-31,按行业分类,其他(补充),538248083.55,0.003383,287801202.65,0.002108,250446880.9,0.0111,0.4653
601607,2018-12-31,按行业分类,其他,284858343.5,0.001791,220617670.0,0.001616,64240673.5,0.002847,0.225518
601607,2018-12-31,按行业分类,抵消,-7847057352.95,-0.049326,-7768310440.11,-0.056902,-78746912.84,-0.00349,
601607,2018-12-31,按产品分类,分销,139444563456.48,0.876545,129665209144.73,0.949779,9779354311.75,0.433426,0.070131
601607,2018-12-31,按产品分类,工业,19461712852.33,0.122336,8004782230.8,0.058634,11456930621.53,0.507777,0.588691
601607,2018-12-31,按产品分类,零售,7202071565.42,0.045272,6111368784.43,0.044765,1090702780.99,0.04834,0.151443
601607,2018-12-31,按产品分类,其他(补充),538248083.55,0.003383,287801202.65,0.002108,250446880.9,0.0111,0.4653
601607,2018-12-31,按产品分类,其他,284858343.5,0.001791,220617670.0,0.001616,64240673.5,0.002847,0.225518
601607,2018-12-31,按产品分类,抵消,-7847057352.95,-0.049326,-7768310440.11,-0.056902,-78746912.84,-0.00349,
601607,2018-12-31,按地区分类,国内销售,156405358104.21,0.98316,134763994882.2,0.987127,21641363222.01,0.959156,0.138367
601607,2018-12-31,按地区分类,国外销售,2140790760.57,0.013457,1469672507.65,0.010765,671118252.92,0.029744,0.313491
601607,2018-12-31,按地区分类,其他(补充),538248083.55,0.003383,287801202.65,0.002108,250446880.9,0.0111,0.4653
